entity_key,source_entity_name,resolved_entity_name,source_abn,resolved_abn,resolved_acn,source_state,most_severe_action,most_recent_action_date,candidate_company_name,candidate_current_name,candidate_entity_name,candidate_abn,candidate_acn,candidate_status,candidate_registration_date,candidate_deregistration_date,candidate_previous_state_of_registration,same_state,days_after_enforcement,similarity_score,director_overlap,review_status,heuristic_basis,cost_path
abn:28649391579,Uplift Disability Services Pty Ltd,Uplift Disability Services Pty Ltd,28649391579,28649391579,,NSW,revocation,2025-03-11T17:00:00,UPLIFT DISABILITY SERVICES PTY LTD,,UPLIFT DISABILITY SERVICES PTY LTD,35689864471,689864471,REGD,08/08/2025,,,unknown,149,1.0,unknown,candidate,exact_canonical_name_root_and_post_enforcement_registration,$0_public_only
abn:21641355446,CARING ANGELS PTY LTD,CARING ANGELS PTY LTD,21641355446,21641355446,,NSW,revocation,2024-08-05T17:00:00,CARING ANGELS PTY LTD,,CARING ANGELS PTY LTD,74689031043,689031043,REGD,13/07/2025,,,unknown,341,1.0,unknown,candidate,exact_canonical_name_root_and_post_enforcement_registration,$0_public_only
abn:62645641783,CARING COMMUNITY SERVICES PTY LTD,CARING COMMUNITY SERVICES PTY LTD,62645641783,62645641783,,NSW,revocation,2024-08-05T17:00:00,CARING COMMUNITY SERVICES PTY LTD,,CARING COMMUNITY SERVICES PTY LTD,52684384049,684384049,REGD,11/02/2025,,,unknown,189,1.0,unknown,candidate,exact_canonical_name_root_and_post_enforcement_registration,$0_public_only
abn:21641355446,CARING ANGELS PTY LTD,CARING ANGELS PTY LTD,21641355446,21641355446,,NSW,revocation,2024-08-05T17:00:00,A.C.N. 680 593 766 PTY LTD,CARING ANGELS AUSTRALIA PTY LTD,CARING ANGELS AUSTRALIA PTY LTD,71680593766,680593766,REGD,08/09/2024,,,unknown,33,1.0,unknown,candidate,exact_canonical_name_root_and_post_enforcement_registration,$0_public_only
abn:26648996749,AURORA CARE GROUP PTY LTD,AURORA CARE GROUP PTY LTD,26648996749,26648996749,648996749,VIC,revocation,2024-08-05T17:00:00,AURORA CARE GROUP PTY LTD,,AURORA CARE GROUP PTY LTD,,688651078,REGD,01/07/2025,,,unknown,329,1.0,unknown,candidate,exact_canonical_name_root_and_post_enforcement_registration,$0_public_only
abn:71627680004,Ability Care Australia Pty Ltd (formerly Metro Plumbing and Services Pty Ltd),ABILITY CARE AUSTRALIA PTY LTD,71627680004,71627680004,627680004,NSW,banning_order,2023-04-28T17:30:00,ABILITY CARE CO PTY LTD,,ABILITY CARE CO PTY LTD,35687457950,687457950,REGD,26/05/2025,,,unknown,758,1.0,unknown,candidate,exact_canonical_name_root_and_post_enforcement_registration,$0_public_only
abn:71627680004,Ability Care Australia Pty Ltd (formerly Metro Plumbing and Services Pty Ltd),ABILITY CARE AUSTRALIA PTY LTD,71627680004,71627680004,627680004,NSW,banning_order,2023-04-28T17:30:00,AUSTRALIAN ABILITY CARE PTY LTD,,AUSTRALIAN ABILITY CARE PTY LTD,67668146414,668146414,SOFF,22/05/2023,,,unknown,23,1.0,unknown,candidate,exact_canonical_name_root_and_post_enforcement_registration,$0_public_only
abn:50655851353,First Care Pty Ltd,First Care Pty Ltd,50655851353,50655851353,,VIC,revocation,2023-03-15T17:00:00,FIRST CARE CO PTY LTD,,FIRST CARE CO PTY LTD,51695460363,695460363,REGD,19/02/2026,,,unknown,1071,1.0,unknown,candidate,exact_canonical_name_root_and_post_enforcement_registration,$0_public_only
